,Book Name,Author,Link,Publisher,Date of Publish,ISBN,Pages
158,Anna Karenina (Vintage Classic Russians Series),Leo Tolstoy ,/books/1112427/anna-karenina--vintage-classic-russians-series-/9781784871956.html,Imprint: Vintage Classics,Published: 05/01/2017,ISBN: 9781784871956,Length: 992  Pages
159,The Betrothed,Alessandro Manzoni ,/books/34930/the-betrothed/9780141904177.html,Imprint: Penguin,Published: 24/11/1983,ISBN: 9780141904177,Length: 720  Pages
160,Orlando,Virginia Woolf ,/books/1032517/orlando/9780099478287.html,Imprint: Vintage Classics,Published: 02/12/2004,ISBN: 9780099478287,Length: 256  Pages
161,Atlas Shrugged,Ayn Rand ,/books/57553/atlas-shrugged/9780141188935.html,Imprint: Penguin Classics,Published: 01/02/2007,ISBN: 9780141188935,Length: 1184  Pages
162,The Time Machine,H G Wells ,/books/55966/the-time-machine/9780141439976.html,Imprint: Penguin Classics,Published: 31/03/2005,ISBN: 9780141439976,Length: 144  Pages
163,The Art of War,Tzu Sun ,/books/175567/the-art-of-war/9780143105756.html,Imprint: Penguin Classics,Published: 03/09/2009,ISBN: 9780143105756,Length: 384  Pages
164,The Forsyte Saga,John Galsworthy ,/books/57173/the-forsyte-saga/9780141184180.html,Imprint: Penguin Classics,Published: 27/09/2001,ISBN: 9780141184180,Length: 912  Pages
165,Travels with Charley,John Steinbeck ,/books/57345/travels-with-charley/9780141186108.html,Imprint: Penguin Classics,Published: 01/03/2001,ISBN: 9780141186108,Length: 240  Pages
166,Tropic of Cancer,Henry Miller ,/books/280164/tropic-of-cancer/9780141399133.html,Imprint: Penguin Classics,Published: 04/06/2015,ISBN: 9780141399133,Length: 272  Pages
167,Women in Love,D. H. Lawrence ,/books/1075000/women-in-love/9780099512080.html,Imprint: Vintage Classics,Published: 05/06/2008,ISBN: 9780099512080,Length: 496  Pages
168,Staying On,Paul Scott ,/books/1035422/staying-on/9780099443193.html,Imprint: Arrow,Published: 02/09/1999,ISBN: 9780099443193,Length: 256  Pages
169,The Wind in the Willows,Kenneth Grahame ,/books/59526/the-wind-in-the-willows/9780141385679.html,Imprint: Puffin Classics,Published: 04/05/2017,ISBN: 9780141385679,Length: 256  Pages
170,My Ántonia,Willa Cather ,/books/308451/my-antonia/9780241338322.html,Imprint: Penguin Classics,Published: 04/10/2018,ISBN: 9780241338322,Length: 256  Pages
171,Wuthering Heights,Emily Brontë ,/books/183707/wuthering-heights/9780141199085.html,Imprint: Penguin Classics,Published: 06/12/2012,ISBN: 9780141199085,Length: 384  Pages
172,Perfume,Patrick Süskind ,/books/55512/perfume/9780141198149.html,Imprint: Penguin Classics,Published: 30/12/2010,ISBN: 9780141198149,Length: 304  Pages
173,War And Peace,Leo Tolstoy ,/books/301515/war-and-peace/9780141959801.html,Imprint: Penguin,Published: 26/02/2009,ISBN: 9780141959801,Length: 1440  Pages
174,Of Human Bondage,W. Somerset Maugham ,/books/1033424/of-human-bondage/9780099284963.html,Imprint: Vintage Classics,Published: 02/03/2000,ISBN: 9780099284963,Length: 720  Pages
175,Bleak House,Charles Dickens ,/books/60346/bleak-house/9780141439723.html,Imprint: Penguin Classics,Published: 27/03/2003,ISBN: 9780141439723,Length: 1088  Pages
176,Lost Illusions,Herbert Hunt ,/books/34907/lost-illusions/9780141936024.html,Imprint: Penguin,Published: 27/01/2005,ISBN: 9780141936024,Length: 720  Pages
177,Breakfast Of Champions,Kurt Vonnegut ,/books/1038794/breakfast-of-champions/9780099842606.html,Imprint: Vintage Classics,Published: 21/05/1992,ISBN: 9780099842606,Length: 320  Pages
178,A Christmas Carol (Vintage Classics Dickens Series),Charles Dickens ,/books/1115037/a-christmas-carol--vintage-classics-dickens-series-/9781784873448.html,Imprint: Vintage Classics,Published: 02/11/2017,ISBN: 9781784873448,Length: 288  Pages
179,Silas Marner,George Eliot ,/books/184001/silas-marner/9780141389455.html,Imprint: Penguin Classics,Published: 29/11/2012,ISBN: 9780141389455,Length: 240  Pages
180,Mrs Dalloway,Virginia Woolf ,/books/1031695/mrs-dalloway/9780099470458.html,Imprint: Vintage Classics,Published: 05/02/2004,ISBN: 9780099470458,Length: 208  Pages
181,Little Women,Louisa May Alcott ,/books/284437/little-women/9780147514011.html,Imprint: Puffin Classics,Published: 04/12/2014,ISBN: 9780147514011,Length: 816  Pages
182,"The Sea, The Sea",Iris Murdoch ,/books/1031499/the-sea--the-sea/9780099560999.html,Imprint: Vintage Classics,Published: 01/03/2012,ISBN: 9780099560999,Length: 608  Pages
183,The Godfather,Mario Puzo ,/books/1031422/the-godfather/9781448106899.html,Imprint: Cornerstone Digital,Published: 30/11/2012,ISBN: 9781448106899,Length: 608  Pages
184,The Castle,Franz Kafka ,/books/57104/the-castle/9780241197806.html,Imprint: Penguin Classics,Published: 01/10/2015,ISBN: 9780241197806,Length: 320  Pages
185,"I, Claudius",Robert Graves ,/books/57530/i--claudius/9780141188591.html,Imprint: Penguin Classics,Published: 03/08/2006,ISBN: 9780141188591,Length: 416  Pages
186,Peter Pan,J M Barrie ,/books/59642/peter-pan/9780141322575.html,Imprint: Puffin Classics,Published: 07/08/2008,ISBN: 9780141322575,Length: 240  Pages
187,A Confederacy of Dunces,John Kennedy Toole ,/books/57049/a-confederacy-of-dunces/9780141182865.html,Imprint: Penguin Classics,Published: 30/03/2000,ISBN: 9780141182865,Length: 352  Pages
188,The Razor's Edge,W. Somerset Maugham ,/books/1033416/the-razor-s-edge/9780099284864.html,Imprint: Vintage Classics,Published: 02/03/2000,ISBN: 9780099284864,Length: 352  Pages
189,Lark Rise to Candleford,Flora Thompson ,/books/56565/lark-rise-to-candleford/9780141183312.html,Imprint: Penguin Classics,Published: 04/12/2008,ISBN: 9780141183312,Length: 544  Pages
190,Return of the Native,Thomas Hardy ,/books/1081792/return-of-the-native/9780099518983.html,Imprint: Vintage Classics,Published: 03/06/2010,ISBN: 9780099518983,Length: 512  Pages
191,A Portrait of the Artist as a Young Man,James Joyce ,/books/57029/a-portrait-of-the-artist-as-a-young-man/9780141182667.html,Imprint: Penguin Classics,Published: 24/02/2000,ISBN: 9780141182667,Length: 384  Pages
192,Heart of Darkness,Joseph Conrad ,/books/1074030/heart-of-darkness/9780099511540.html,Imprint: Vintage Classics,Published: 06/09/2007,ISBN: 9780099511540,Length: 176  Pages
193,North and South,Elizabeth Gaskell ,/books/1074039/north-and-south/9780099511489.html,Imprint: Vintage Classics,Published: 06/03/2008,ISBN: 9780099511489,Length: 576  Pages
194,The Handmaid's Tale,Margaret Atwood ,/books/1032806/the-handmaid-s-tale/9781784873189.html,Imprint: Vintage Classics,Published: 25/05/2017,ISBN: 9781784873189,Length: 336  Pages
195,Suite Francaise,Irène Némirovsky ,/books/1036972/suite-francaise/9780099488781.html,Imprint: Vintage,Published: 01/02/2007,ISBN: 9780099488781,Length: 416  Pages
196,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn ,/books/1032669/one-day-in-the-life-of-ivan-denisovich/9780099449270.html,Imprint: Vintage Classics,Published: 01/01/1996,ISBN: 9780099449270,Length: 176  Pages
197,What a Carve Up!,Jonathan Coe ,/books/56289/what-a-carve-up-/9780241978917.html,Imprint: Penguin,Published: 04/08/2016,ISBN: 9780241978917,Length: 512  Pages
198,Zen And The Art Of Motorcycle Maintenance,Robert Pirsig ,/books/1038662/zen-and-the-art-of-motorcycle-maintenance/9780099786405.html,Imprint: Vintage Classics,Published: 06/06/1991,ISBN: 9780099786405,Length: 432  Pages
199,White Nights,Fyodor Dostoyevsky ,/books/292382/white-nights/9780241252086.html,Imprint: Penguin Classics,Published: 03/03/2016,ISBN: 9780241252086,Length: 128  Pages
200,Hard Times (Vintage Classics Dickens Series),Charles Dickens ,/books/1115059/hard-times--vintage-classics-dickens-series-/9781784873431.html,Imprint: Vintage Classics,Published: 02/11/2017,ISBN: 9781784873431,Length: 336  Pages
