,Book Name,Author,Link,Publisher,Date of Publish,ISBN,Pages
63,The Art of War,Tzu Sun ,/books/175567/the-art-of-war/9780143105756.html,Imprint: Penguin Classics,Published: 03/09/2009,ISBN: 9780143105756,Length: 384  Pages
64,The Forsyte Saga,John Galsworthy ,/books/57173/the-forsyte-saga/9780141184180.html,Imprint: Penguin Classics,Published: 27/09/2001,ISBN: 9780141184180,Length: 912  Pages
65,Travels with Charley,John Steinbeck ,/books/57345/travels-with-charley/9780141186108.html,Imprint: Penguin Classics,Published: 01/03/2001,ISBN: 9780141186108,Length: 240  Pages
66,Tropic of Cancer,Henry Miller ,/books/280164/tropic-of-cancer/9780141399133.html,Imprint: Penguin Classics,Published: 04/06/2015,ISBN: 9780141399133,Length: 272  Pages
67,Women in Love,D. H. Lawrence ,/books/1075000/women-in-love/9780099512080.html,Imprint: Vintage Classics,Published: 05/06/2008,ISBN: 9780099512080,Length: 496  Pages
68,Staying On,Paul Scott ,/books/1035422/staying-on/9780099443193.html,Imprint: Arrow,Published: 02/09/1999,ISBN: 9780099443193,Length: 256  Pages
69,The Wind in the Willows,Kenneth Grahame ,/books/59526/the-wind-in-the-willows/9780141385679.html,Imprint: Puffin Classics,Published: 04/05/2017,ISBN: 9780141385679,Length: 256  Pages
70,My Ántonia,Willa Cather ,/books/308451/my-antonia/9780241338322.html,Imprint: Penguin Classics,Published: 04/10/2018,ISBN: 9780241338322,Length: 256  Pages
71,Wuthering Heights,Emily Brontë ,/books/183707/wuthering-heights/9780141199085.html,Imprint: Penguin Classics,Published: 06/12/2012,ISBN: 9780141199085,Length: 384  Pages
72,Perfume,Patrick Süskind ,/books/55512/perfume/9780141198149.html,Imprint: Penguin Classics,Published: 30/12/2010,ISBN: 9780141198149,Length: 304  Pages
73,War And Peace,Leo Tolstoy ,/books/301515/war-and-peace/9780141959801.html,Imprint: Penguin,Published: 26/02/2009,ISBN: 9780141959801,Length: 1440  Pages
74,Of Human Bondage,W. Somerset Maugham ,/books/1033424/of-human-bondage/9780099284963.html,Imprint: Vintage Classics,Published: 02/03/2000,ISBN: 9780099284963,Length: 720  Pages
75,Bleak House,Charles Dickens ,/books/60346/bleak-house/9780141439723.html,Imprint: Penguin Classics,Published: 27/03/2003,ISBN: 9780141439723,Length: 1088  Pages
76,Lost Illusions,Herbert Hunt ,/books/34907/lost-illusions/9780141936024.html,Imprint: Penguin,Published: 27/01/2005,ISBN: 9780141936024,Length: 720  Pages
77,Breakfast Of Champions,Kurt Vonnegut ,/books/1038794/breakfast-of-champions/9780099842606.html,Imprint: Vintage Classics,Published: 21/05/1992,ISBN: 9780099842606,Length: 320  Pages
78,A Christmas Carol (Vintage Classics Dickens Series),Charles Dickens ,/books/1115037/a-christmas-carol--vintage-classics-dickens-series-/9781784873448.html,Imprint: Vintage Classics,Published: 02/11/2017,ISBN: 9781784873448,Length: 288  Pages
79,Silas Marner,George Eliot ,/books/184001/silas-marner/9780141389455.html,Imprint: Penguin Classics,Published: 29/11/2012,ISBN: 9780141389455,Length: 240  Pages
80,Mrs Dalloway,Virginia Woolf ,/books/1031695/mrs-dalloway/9780099470458.html,Imprint: Vintage Classics,Published: 05/02/2004,ISBN: 9780099470458,Length: 208  Pages
81,Little Women,Louisa May Alcott ,/books/284437/little-women/9780147514011.html,Imprint: Puffin Classics,Published: 04/12/2014,ISBN: 9780147514011,Length: 816  Pages
82,"The Sea, The Sea",Iris Murdoch ,/books/1031499/the-sea--the-sea/9780099560999.html,Imprint: Vintage Classics,Published: 01/03/2012,ISBN: 9780099560999,Length: 608  Pages
83,The Godfather,Mario Puzo ,/books/1031422/the-godfather/9781448106899.html,Imprint: Cornerstone Digital,Published: 30/11/2012,ISBN: 9781448106899,Length: 608  Pages
84,The Castle,Franz Kafka ,/books/57104/the-castle/9780241197806.html,Imprint: Penguin Classics,Published: 01/10/2015,ISBN: 9780241197806,Length: 320  Pages
85,"I, Claudius",Robert Graves ,/books/57530/i--claudius/9780141188591.html,Imprint: Penguin Classics,Published: 03/08/2006,ISBN: 9780141188591,Length: 416  Pages
86,Peter Pan,J M Barrie ,/books/59642/peter-pan/9780141322575.html,Imprint: Puffin Classics,Published: 07/08/2008,ISBN: 9780141322575,Length: 240  Pages
87,A Confederacy of Dunces,John Kennedy Toole ,/books/57049/a-confederacy-of-dunces/9780141182865.html,Imprint: Penguin Classics,Published: 30/03/2000,ISBN: 9780141182865,Length: 352  Pages
88,The Razor's Edge,W. Somerset Maugham ,/books/1033416/the-razor-s-edge/9780099284864.html,Imprint: Vintage Classics,Published: 02/03/2000,ISBN: 9780099284864,Length: 352  Pages
89,Lark Rise to Candleford,Flora Thompson ,/books/56565/lark-rise-to-candleford/9780141183312.html,Imprint: Penguin Classics,Published: 04/12/2008,ISBN: 9780141183312,Length: 544  Pages
90,Return of the Native,Thomas Hardy ,/books/1081792/return-of-the-native/9780099518983.html,Imprint: Vintage Classics,Published: 03/06/2010,ISBN: 9780099518983,Length: 512  Pages
91,A Portrait of the Artist as a Young Man,James Joyce ,/books/57029/a-portrait-of-the-artist-as-a-young-man/9780141182667.html,Imprint: Penguin Classics,Published: 24/02/2000,ISBN: 9780141182667,Length: 384  Pages
92,Heart of Darkness,Joseph Conrad ,/books/1074030/heart-of-darkness/9780099511540.html,Imprint: Vintage Classics,Published: 06/09/2007,ISBN: 9780099511540,Length: 176  Pages
93,North and South,Elizabeth Gaskell ,/books/1074039/north-and-south/9780099511489.html,Imprint: Vintage Classics,Published: 06/03/2008,ISBN: 9780099511489,Length: 576  Pages
94,The Handmaid's Tale,Margaret Atwood ,/books/1032806/the-handmaid-s-tale/9781784873189.html,Imprint: Vintage Classics,Published: 25/05/2017,ISBN: 9781784873189,Length: 336  Pages
95,Suite Francaise,Irène Némirovsky ,/books/1036972/suite-francaise/9780099488781.html,Imprint: Vintage,Published: 01/02/2007,ISBN: 9780099488781,Length: 416  Pages
96,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn ,/books/1032669/one-day-in-the-life-of-ivan-denisovich/9780099449270.html,Imprint: Vintage Classics,Published: 01/01/1996,ISBN: 9780099449270,Length: 176  Pages
97,What a Carve Up!,Jonathan Coe ,/books/56289/what-a-carve-up-/9780241978917.html,Imprint: Penguin,Published: 04/08/2016,ISBN: 9780241978917,Length: 512  Pages
98,Zen And The Art Of Motorcycle Maintenance,Robert Pirsig ,/books/1038662/zen-and-the-art-of-motorcycle-maintenance/9780099786405.html,Imprint: Vintage Classics,Published: 06/06/1991,ISBN: 9780099786405,Length: 432  Pages
99,White Nights,Fyodor Dostoyevsky ,/books/292382/white-nights/9780241252086.html,Imprint: Penguin Classics,Published: 03/03/2016,ISBN: 9780241252086,Length: 128  Pages
100,Hard Times (Vintage Classics Dickens Series),Charles Dickens ,/books/1115059/hard-times--vintage-classics-dickens-series-/9781784873431.html,Imprint: Vintage Classics,Published: 02/11/2017,ISBN: 9781784873431,Length: 336  Pages
101,Pride and Prejudice,Jane Austen ,/books/183689/pride-and-prejudice/9780141199078.html,Imprint: Penguin Classics,Published: 06/12/2012,ISBN: 9780141199078,Length: 416  Pages
102,To Kill A Mockingbird,Harper Lee ,/books/1088099/to-kill-a-mockingbird/9781784752637.html,Imprint: Arrow,Published: 04/06/2015,ISBN: 9781784752637,Length: 320  Pages
103,The Great Gatsby,F. Scott Fitzgerald ,/books/56606/the-great-gatsby/9780141182636.html,Imprint: Penguin Classics,Published: 24/02/2000,ISBN: 9780141182636,Length: 240  Pages
104,One Hundred Years of Solitude,Gabriel Garcia Marquez ,/books/56215/one-hundred-years-of-solitude/9780241968581.html,Imprint: Penguin,Published: 06/03/2014,ISBN: 9780241968581,Length: 432  Pages
105,In Cold Blood,Truman Capote ,/books/57020/in-cold-blood/9780141182575.html,Imprint: Penguin Classics,Published: 03/02/2000,ISBN: 9780141182575,Length: 320  Pages
106,Wide Sargasso Sea,Jean Rhys ,/books/57281/wide-sargasso-sea/9780241281901.html,Imprint: Penguin Classics,Published: 06/10/2016,ISBN: 9780241281901,Length: 192  Pages
107,Brave New World,Aldous Huxley ,/books/1110001/brave-new-world/9781784870140.html,Imprint: Vintage Classics,Published: 06/11/2014,ISBN: 9781784870140,Length: 288  Pages
108,I Capture the Castle,Dodie Smith ,/books/296874/i-capture-the-castle/9780141371504.html,Imprint: Penguin,Published: 04/08/2016,ISBN: 9780141371504,Length: 544  Pages
109,Jane Eyre,Charlotte Bronte ,/books/60371/jane-eyre/9780141441146.html,Imprint: Penguin Classics,Published: 29/06/2006,ISBN: 9780141441146,Length: 624  Pages
110,Crime and Punishment,Fyodor Dostoyevsky ,/books/35469/crime-and-punishment/9780140449136.html,Imprint: Penguin Classics,Published: 30/01/2003,ISBN: 9780140449136,Length: 720  Pages
111,The Secret History,Donna Tartt ,/books/133251/the-secret-history/9780241982884.html,Imprint: Penguin,Published: 03/08/2017,ISBN: 9780241982884,Length: 640  Pages
112,The Call of the Wild,Jack London ,/books/59518/the-call-of-the-wild/9780141321059.html,Imprint: Puffin Classics,Published: 06/03/2008,ISBN: 9780141321059,Length: 160  Pages
113,The Chrysalids,John Wyndham ,/books/312527/the-chrysalids/9780141181479.html,Imprint: Penguin Classics,Published: 03/02/2000,ISBN: 9780141181479,Length: 208  Pages
114,Persuasion,Jane Austen ,/books/183655/persuasion/9780141198835.html,Imprint: Penguin Classics,Published: 26/04/2012,ISBN: 9780141198835,Length: 272  Pages
115,Moby-Dick,Herman Melville ,/books/62240/moby-dick/9780142437247.html,Imprint: Penguin Classics,Published: 27/02/2003,ISBN: 9780142437247,Length: 720  Pages
116,"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe",BBC ,/books/1100737/the-chronicles-of-narnia--the-lion--the-witch-and-the-wardrobe/9780563477389.html,Imprint: BBC Physical Audio,Published: 30/11/2000,ISBN: 9780563477389,Length: 115  Minutes
117,To the Lighthouse,Virginia Woolf ,/books/57101/to-the-lighthouse/9780241341681.html,Imprint: Penguin Classics,Published: 07/06/2018,ISBN: 9780241341681,Length: 208  Pages
118,The Death Of The Heart,Elizabeth Bowen ,/books/1033043/the-death-of-the-heart/9780099276456.html,Imprint: Vintage Classics,Published: 14/05/1998,ISBN: 9780099276456,Length: 368  Pages
119,Tess of the D'Urbervilles,Thomas Hardy ,/books/55964/tess-of-the-d-urbervilles/9780141439594.html,Imprint: Penguin Classics,Published: 30/01/2003,ISBN: 9780141439594,Length: 592  Pages
120,Frankenstein,Mary Shelley ,/books/183673/frankenstein/9780141973883.html,Imprint: Penguin,Published: 26/04/2012,ISBN: 9780141973883,Length: 288  Pages
121,The Master and Margarita,Mikhail Bulgakov ,/books/1085640/the-master-and-margarita/9780099540946.html,Imprint: Vintage Classics,Published: 07/01/2010,ISBN: 9780099540946,Length: 464  Pages
122,The Go-between,L. P. Hartley ,/books/57119/the-go-between/9780141187785.html,Imprint: Penguin Classics,Published: 29/01/2004,ISBN: 9780141187785,Length: 336  Pages
123,One Flew Over the Cuckoo's Nest,Ken Kesey ,/books/55626/one-flew-over-the-cuckoo-s-nest/9780141187884.html,Imprint: Penguin Classics,Published: 05/05/2005,ISBN: 9780141187884,Length: 320  Pages
